Sample ID,Weight (mg),N2 Amp,%N,AT% 15N/14N,?15N vs. At. Air,CO2 Amp,%C,?13C vs. VPDB,AT% 13C/12C
0402O_duplicate_12CG_CHCl3,19.464,421,0.06,0.37297,18.26,341,0.34,-23.53,1.07991
Blank_R3_CHCl3,38.9875,54,0,0.37034,11.07,0,,,
0916M_12CG_CHCl3,41.896,223,0.02,0.37016,10.57,292,0.13,-20.76,1.08294
0905M_12CG_CHCl3,38.639,309,0.02,0.36925,8.08,401,0.19,-20.31,1.08342
0304M_13CG_nofum,38.108,78,0.01,0.36765,3.69,87,0.04,58.45,1.1695
0515M_13CG_nofum,39.1725,151,0.01,0.3653,-2.75,118,0.06,59.91,1.1711
0308M_12CG_nofum,38.762,73,0.01,0.36981,9.61,51,0.03,-22.05,1.08152
0103M_13CG_CHCl3,40.4935,228,0.02,0.3698,9.57,366,0.17,609.01,1.76708
0515M_12CG_nofum,38.0305,149,0.01,0.36498,-3.63,95,0.05,-12.16,1.09234
0515M_12CG_CHCl3,41.1625,213,0.01,0.36689,1.6,153,0.08,-21.93,1.08166
0304M_12CG_nofum,40.343,91,0.01,0.36636,0.17,70,0.03,-22.64,1.08087
0218M_13CG_nofum,19.222,0,,,,58,0.06,34.77,1.14364
0112M_13CG_nofum,19.3175,0,,,,90,0.09,66.42,1.17821
0103M_12CG_CHCl3,39.3545,203,0.02,0.36968,9.25,283,0.14,-22.76,1.08075
0811M_13CG_nofum,39.039,0,,,,78,0.04,119.24,1.23585
0916M_13CG_CHCl3,38.1475,189,0.01,0.36955,8.9,183,0.1,978.63,2.16423
0115M_13CG_CHCl3,39.1145,150,0.01,0.36854,6.12,271,0.14,1100.16,2.29412
0316M_12CG_nofum,39.0325,90,0.01,0.36626,-0.11,65,0.03,14.79,1.1218
0508M_12CG_nofum,38.177,178,0.01,0.36596,-0.95,206,0.11,-16.11,1.08802
0508M_12CG_CHCl3,38.328,234,0.02,0.36683,1.45,317,0.16,-22.32,1.08123
0512M_12CG_CHCl3,38.8605,248,0.02,0.36684,1.48,366,0.18,-21.58,1.08204
0912M_13CG_CHCl3,41.015,499,0.04,0.37049,11.47,310,0.14,658.81,1.82078
0811M_12CG_nofum,20.987,0,,,,55,0.05,-3.7,1.10159
0512M_13CG_nofum,38.4815,150,0.01,0.36618,-0.33,165,0.08,-0.78,1.10479
0811M_12CG_CHCl3,38.2285,65,0,0.37113,13.21,142,0.07,-19.76,1.08403
0508M_13CG_nofum,39.1735,180,0.01,0.36659,0.79,248,0.12,105.38,1.22073
0912M_12CG_CHCl3,39.1605,335,0.02,0.3694,8.48,205,0.1,-20.6,1.08311
0811M_13CG_CHCl3,39.1665,105,0.01,0.37053,11.57,208,0.1,890.35,2.06967
0304M_12CG_CHCl3,38.155,144,0.01,0.36718,2.4,170,0.09,-13.35,1.09104
0211M_13CG_CHCl3,39.5345,135,0.01,0.37086,12.49,234,0.13,968.46,2.15334
0112M_12CG_CHCl3,41.432,148,0.01,0.36859,6.27,679,0.3,-15.7,1.08847
0112M_13CG_CHCl3,38.732,125,0.01,0.36867,6.48,567,0.27,439.72,1.5841
0202M_12CG_nofum,40.575,0,,,,157,0.08,9.94,1.11651
0202M_13CG_nofum,38.797,63,0,0.36933,8.28,363,0.18,198.16,1.32184
0103M_12CG_nofum,38.804,97,0.01,0.36918,7.88,274,0.13,-20.94,1.08274
0218M_13CG_CHCl3,39.012,187,0.01,0.37106,13.03,253,0.12,682.34,1.84613
0202M_13CG_CHCl3,35.077,0,,,,175,0.1,890.1,2.0694
0508M_13CG_CHCl3,38.483,235,0.02,0.36685,1.49,308,0.16,389.81,1.53004
0202M_12CG_CHCl3,40.301,60,0,0.37121,13.44,286,0.13,-15.68,1.08849
Blank_R6_nofum,40.924,0,,,,0,,,
0304M_13CG_CHCl3,38.1065,177,0.01,0.36778,4.05,205,0.1,681.77,1.84552
0218M_12CG_nofum,35.6705,77,0.01,0.36978,9.53,120,0.06,-18.44,1.08548
0308M_13CG_CHCl3,38.934,140,0.01,0.36941,8.52,226,0.11,426.13,1.56939
0905M_13CG_CHCl3,38.2175,212,0.02,0.36945,8.61,281,0.14,1083.4,2.27623
0807M_12CG_nofum,38.3575,0,,,,96,0.05,9,1.11547
0115M_12CG_CHCl3,41.5875,96,0.01,0.37023,10.76,241,0.11,-22.34,1.0812
0112M_12CG_nofum,40.5435,82,0.01,0.37025,10.8,358,0.17,-23.42,1.08003
0316M_13CG_CHCl3,39.945,125,0.01,0.36833,5.55,127,0.06,636.34,1.79656
0512M_12CG_nofum,40.3475,181,0.01,0.36638,0.22,178,0.08,-20.15,1.0836
0308M_12CG_CHCl3,40.695,126,0.01,0.37084,12.43,98,0.04,-19.37,1.08445
0308M_13CG_nofum,40.592,87,0.01,0.36912,7.71,52,0.02,169.12,1.29021
0916M_13CG_nofum,38.699,81,0.01,0.37044,11.33,102,0.05,76,1.18867
0807M_12CG_CHCl3,38.7755,58,0,0.37211,15.91,140,0.07,-19.22,1.08462
0316M_13CG_nofum,40.285,85,0.01,0.36841,5.79,75,0.04,298.32,1.43076
0912M_12CG_nofum,40.322,246,0.02,0.37077,12.23,96,0.04,-22.13,1.08144
0808M_12CG_nofum,38.0955,0,,,,56,0.03,-23.22,1.08024
0211M_12CG_CHCl3,40.6605,212,0.02,0.37126,13.59,372,0.17,-18,1.08596
0512M_13CG_CHCl3,39.514,254,0.02,0.36877,6.76,431,0.21,862.09,2.03936
Blank_R6_CHCl3,40.7415,0,,,,0,,,
0103M_13CG_nofum,38.467,86,0.01,0.36825,5.33,251,0.11,53.82,1.16446
0808M_13CG_CHCl3,40.232,117,0.01,0.3701,10.41,195,0.09,1115.95,2.31097
0808M_13CG_nofum,38.938,0,,,,74,0.03,150.48,1.2699
0211M_12CG_nofum,41.7275,0,,,,132,0.06,-18.47,1.08544
0905M_13CG_nofum,41.839,69,0.01,0.36932,8.27,108,0.05,46.16,1.15609
0808M_12CG_CHCl3,41.405,106,0.01,0.3703,10.94,376,0.16,-23.22,1.08025
0807M_13CG_nofum,39.2505,0,,,,94,0.04,157.92,1.27801
0115M_13CG_nofum,41.4125,66,0.01,0.36768,3.78,159,0.07,333.41,1.46886
0218M_12CG_CHCl3,41.6015,179,0.01,0.37067,11.95,306,0.13,-21.4,1.08224
0211M_13CG_nofum,39.5165,0,,,,100,0.04,105.64,1.22101
0115M_12CG_nofum,38.901,69,0.01,0.37061,11.81,185,0.09,-25.07,1.07822
0807M_13CG_CHCl3,38.7145,79,0.01,0.3714,13.97,219,0.11,974.27,2.15957
0916M_12CG_nofum,38.7055,53,0.01,0.37455,22.59,117,0.06,-19.92,1.08386
0905M_12CG_nofum,40.315,75,0.01,0.37096,12.77,123,0.06,-23.35,1.0801
0515M_13CG_CHCl3,41.186,184,0.02,0.36736,2.88,311,0.14,261.55,1.3908
0316M_12CG_CHCl3,40.4135,119,0.01,0.36854,6.12,326,0.15,-16.22,1.0879
0912M_13CG_nofum,38.819,316,0.03,0.37084,12.42,124,0.06,36.09,1.14509
Blank_R6_nofum,41.4515,0,,,,0,,,
0115M_rerun_12CG_CHCl3,37.159,111,0.01,0.37029,10.93,324,0.17,-21.35,1.08229
0218M_rerun_12CG_nofum,35.6705,0,,,,165,0.09,-21.27,1.08238
0515M_rerun_12CG_CHCl3,36.6955,94,0.01,0.3703,10.95,211,0.11,-22.94,1.08054
0202M_rerun_13CG_CHCl3,35.077,0,,,,287,0.15,904.17,2.08449
0515M_rerun_13CG_CHCl3,36.4865,88,0.01,0.3711,13.15,163,0.08,336.76,1.4725
blank tin1,0,0,,,,0,,,
blank tin2,0,0,,,,0,,,
blank tin3,0,0,,,,0,,,
blank tin4,0,0,,,,0,,,
blank tin5,0,0,,,,0,,,
0912O_13CP_CHCl3,19.9985,700,0.11,0.37092,12.65,506,0.46,-22.77,1.08073
0912O_12CP_CHCl3,19.0435,656,0.11,0.37127,13.61,436,0.42,-25.82,1.0774
1205O_12CP_CHCl3,17.127,209,0.04,0.36885,6.97,440,0.47,-25.85,1.07737
