Sample ID,Weight (mg),N2 Amp,%N,AT% 15N/14N,?15N vs. At. Air,CO2 Amp,%C,?13C vs. VPDB,AT% 13C/12C
0916M_12CP_CHCl,39.6355,290,0.02,0.37023,10.75,206,0.08,-24.18,1.07920
0103M_13CP_nofum,39.304,286,0.02,0.37121,13.44,302,0.12,-5.40,1.09973
0808M_12CP_CHCl,40.1935,175,0.01,0.37146,14.13,195,0.08,-25.67,1.07756
0218M_13CP_CHCl,40.8095,234,0.02,0.36909,7.64,384,0.15,18.56,1.12593
0808M_13CP_CHCl,39.814,96,0.01,0.36863,6.37,160,0.06,19.55,1.12702
Blank_nofum,40.9865,65,0.01,0.36690,1.65,0,,,
0112M_13CP_CHCl,39.896,223,0.02,0.36732,2.77,"1,030",0.41,-6.18,1.09888
0808M_13CP_nofum,40.7945,0,,,,115,0.04,11.67,1.11840
0112M_12CP_nofum,40.4015,104,0.01,0.36612,-0.49,334,0.13,-25.91,1.07730
0905M_13CP_nofum,39.529,108,0.01,0.36736,2.89,173,0.07,-10.56,1.09409
0211M_13CP_CHCl,39.3205,163,0.01,0.36898,7.34,284,0.11,23.32,1.13113
0905M_12CP_CHCl,39.5965,292,0.02,0.36850,6.03,325,0.13,-24.55,1.07879
0807M_12CP_nofum,39.1335,106,0.01,0.36901,7.40,174,0.07,-17.93,1.08603
0512M_13CP_CHCl,39.32,252,0.02,0.36590,-1.11,349,0.14,1.80,1.10761
0218M_12CP_nofum,39.9925,158,0.01,0.37486,23.44,145,0.06,-26.70,1.07643
0508M_12CP_CHCl,39.5245,472,0.04,0.36995,9.99,312,0.13,-26.03,1.07717
0515M_12CP_nofum,40.1425,157,0.01,0.36645,0.40,83,0.03,-27.34,1.07574
0308M_12CP_CHCl,40.274,324,0.02,0.37080,12.33,160,0.06,-26.11,1.07708
0912M_13CP_nofum,39.3315,613,0.05,0.37244,16.82,180,0.07,-0.26,1.10535
0515M_13CP_nofum,40.4315,166,0.01,0.36574,-1.55,144,0.06,-6.32,1.09873
0905M_12CP_nofum,39.4625,138,0.01,0.36863,6.37,123,0.05,-24.79,1.07852
0112M_13CP_nofum,37.885,105,0.01,0.36527,-2.84,358,0.15,-7.55,1.09738
0916M_13CP_nofum,39.211,64,0.01,0.36849,5.99,132,0.05,16.31,1.12347
0916M_12CP_nofum,39.796,195,0.02,0.37253,17.07,94,0.04,-26.41,1.07675
0308M_12CP_nofum,39.012,230,0.02,0.37166,14.67,57,0.02,-27.47,1.07560
Blank_CHCl,40.3905,0,,,,0,,,
